samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
22001,1.64990036656367,4.58238867886838,0,0.0610191527462419,0,0.53138422482901,0,1.75368704404963,0.0172418870022551,0,12,1.09355126916026,0.001,0,0,1.76427433861651,0,0.382514436693838,0,0.0919169445070062,0,0,0.0234490486713126,0,8,0.875587295510367,0.001,0.5,0.5,0,-6180.70710244938,-4553.57385100968,-1627.1332514397
23001,1.25377521851377,4.59217435646011,0,0.0637787970856483,0,0.494340149958702,0,1.49624529385142,0.0213726647802701,0,12,1.11459415806987,0.001,0,0,1.71062498648579,0,0.372080148832336,0,0.0873893744022727,0,0,0.0227247612821779,0,8,0.862199403717604,0.001,0.5,0.5,0,-6172.48566317169,-4563.37387828587,-1609.11178488582
24001,1.28831131101908,4.58477333138412,0,0.0927241575889133,0,0.441082819699404,0,1.87926201247377,0.0244629162283041,0,12,1.11870542310175,0.001,0,0,1.74462649794989,0,0.484374927306469,0,0.044870949694227,0,0,0.0250803977998135,0,8,0.869183285363851,0.001,0.5,0.5,0,-6183.79549588692,-4598.95588594443,-1584.83960994249
25001,1.4218428133115,4.54238830398489,0,0.110987668740746,0,0.456256979460598,0,1.83117820354641,0.0164317293814679,0,12,1.14751267613385,0.001,0,0,1.79061756127323,0,0.474112217462083,0,0.0896492759931934,0,0,0.00827672532333127,0,8,0.87674861326394,0.001,0.5,0.5,0,-6185.06141108605,-4597.94267584965,-1587.1187352364
26001,1.41823845391893,4.57637487143275,0,0.0654464204504888,0,0.491617284160041,0,1.81120028229768,0.0219628949441951,0,12,1.1434201084042,0.001,0,0,1.76057154250699,0,0.367189743547593,0,0.101671189816961,0,0,0.0238707063509603,0,8,0.894456320648801,0.001,0.5,0.5,0,-6191.16125558886,-4598.06203483641,-1593.09922075245
27001,1.43498775902301,4.62484348482933,0,0.10743169256972,0,0.500783999768542,0,1.43053954760595,0.016618972430292,0,12,1.12784849615915,0.001,0,0,1.86148091318943,0,0.466804139130065,0,0.100362025042178,0,0,0.0104714373571064,0,8,0.860243822167895,0.001,0.5,0.5,0,-6149.47722979477,-4601.0380556177,-1548.43917417707
28001,1.47162746846656,4.46791446776463,0,0.0588196696371577,0,0.506982749380923,0,1.87090363605809,0.0130625022171718,0,12,1.1515971038814,0.001,0,0,1.75060149636254,0,0.434052212964172,0,0.0956996594064146,0,0,0.00826180565666604,0,8,0.931194150236901,0.001,0.5,0.5,0,-6150.16019581703,-4583.0674714256,-1567.09272439143
29001,1.67960800117316,4.60162008148877,0,0.0734620937271957,0,0.505622301505914,0,1.44042379594803,0.00969610455440129,0,12,1.11498456871002,0.001,0,0,1.73394433275466,0,0.373525450408606,0,0.113527830520877,0,0,0.00916324301209693,0,8,0.90869228890491,0.001,0.5,0.5,0,-6113.41920599667,-4598.51796499755,-1514.90124099912
30001,1.41373830256752,4.54013251222488,0,0.0455699289908092,0,0.544215774101857,0,1.41457309203676,0.00720341719999326,0,12,1.11129550376391,0.001,0,0,1.80982214279739,0,0.456507932332238,0,0.105389434404542,0,0,0.0118658993559228,0,8,0.880018237070472,0.001,0.5,0.5,0,-6124.49281057605,-4573.85353550589,-1550.63927507017
31001,1.43622442463504,4.79938718802453,0,0.0428194013710912,0,0.521785731545211,0,1.7903497678755,0.0199803644684375,0,12,1.13592372769641,0.001,0,0,1.82232449432274,0,0.376820107236574,0,0.119712219753909,0,0,0.0170757247025741,0,8,0.886840494014049,0.001,0.5,0.5,0,-6146.26084786122,-4581.83587737579,-1564.42497048543
32001,1.47497895334509,4.42120131022348,0,0.0178904341450382,0,0.505505301792038,0,1.71318675418232,0.0134587818707201,0,12,1.16321364929135,0.001,0,0,1.75448421070156,0,0.402348080080639,0,0.0944355080282745,0,0,0.0190743096496536,0,8,0.900009789289669,0.001,0.5,0.5,0,-6170.21259660792,-4586.71398383979,-1583.49861276813
33001,1.30798232018265,4.50678813587549,0,0.00453113391273654,0,0.508942610062366,0,1.9557460734514,0.0175557150061608,0,12,1.1293145206472,0.001,0,0,1.78930715894452,0,0.431625489012794,0,0.0900375119710062,0,0,0.023863684120265,0,8,0.892389157499581,0.001,0.5,0.5,0,-6183.37676246813,-4604.24293580476,-1579.13382666338
34001,1.4309886373863,4.44517499395247,0,0.00293094296321345,0,0.52482231299223,0,1.60596421068697,0.0168275710270852,0,12,1.10340580709575,0.001,0,0,1.85889184787427,0,0.46173918870923,0,0.108399521030452,0,0,0.00924271213593404,0,8,0.840748573688631,0.001,0.5,0.5,0,-6161.70950666899,-4600.63736887342,-1561.07213779557
35001,1.59234050808884,4.50051068457053,0,0.0673589471396867,0,0.470006977719092,0,1.96547434339445,0.0130884831848737,0,12,1.14031110508184,0.001,0,0,1.86785808897221,0,0.409060210509001,0,0.117338409848819,0,0,0.0207838563792054,0,8,0.923861994324675,0.001,0.5,0.5,0,-6115.21223317754,-4600.76303428732,-1514.44919889022
36001,1.52582025628026,4.43807616536121,0,0.0340219391870021,0,0.493217658783001,0,1.42707109313908,0.0121403958244745,0,12,1.08989771341531,0.001,0,0,1.77838362372907,0,0.447759758036605,0,0.0870509497539812,0,0,0.0172355833857279,0,8,0.87201121646025,0.001,0.5,0.5,0,-6070.40000994165,-4583.13228418837,-1487.26772575328
37001,1.29692987554291,4.30537907797291,0,0.00366846331168909,0,0.53029516059915,0,1.17131653509814,0.0115958049632364,0,12,1.11428146757726,0.001,0,0,1.80225814073069,0,0.387564538105022,0,0.1150041634227,0,0,0.0220490607114965,0,8,0.872558098405019,0.001,0.5,0.5,0,-6132.51898128316,-4562.92572270027,-1569.59325858289
38001,1.48796251541673,4.48706958971452,0,0.0319368610358175,0,0.519136458008841,0,1.77291497590551,0.0151401833053217,0,12,1.07161024827613,0.001,0,0,1.71628475943084,0,0.384113740577004,0,0.102067444599119,0,0,0.0155975798915387,0,8,0.879825684082742,0.001,0.5,0.5,0,-6141.23645204784,-4513.00440328455,-1628.23204876328
39001,1.56850856355096,4.49848907181726,0,0.0129880931346032,0,0.569933865318479,0,1.47452714780176,0.00753728370568662,0,12,1.06635161036532,0.001,0,0,1.77944146672596,0,0.440463030810537,0,0.105624082716473,0,0,0.00734881079119068,0,8,0.879455823159486,0.001,0.5,0.5,0,-6128.2082771964,-4555.52152796585,-1572.68674923055
40001,1.52310526346934,4.52575960482987,0,0.0614455530069004,0,0.460729675724677,0,1.7814546540038,0.0219588219966405,0,12,1.1524587675626,0.001,0,0,1.7466840269913,0,0.429177340024152,0,0.0804521672943986,0,0,0.0194459507595609,0,8,0.895665034822868,0.001,0.5,0.5,0,-6157.93208199114,-4587.59279085435,-1570.33929113679
41001,1.38451935732877,4.60704444702609,0,0.041281879773918,0,0.477460608506071,0,1.55450196452054,0.0178954006221962,0,12,1.07806536897654,0.001,0,0,1.69964403864266,0,0.412860327222879,0,0.0801284942945051,0,0,0.00868911546477654,0,8,0.85332063958317,0.001,0.5,0.5,0,-6144.33887758058,-4556.16859360229,-1588.17028397829
