samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
10001,2.81773712853439,2.74040427284568,0,0.205866128216063,0,0.491480055486078,0,0.0664665835754918,0.0188289828759402,0,12,1.09881829684646,0.001,0,0,1.95662974132702,0,0.842944015327593,0,0.000189121504724005,0,0,0.0293888417153844,0,8,0.904403366742033,0.001,0.5,0.5,0,-7335.20668397774,-5871.53916225275,-1463.66752172499
11001,2.85195377311246,2.68724772616436,0,0.206342461593958,0,0.501509172764472,0,0.0675101223533312,0.00756168002327586,0,12,1.12448639091175,0.001,0,0,2.00242494642604,0,0.861263688328883,0,0.00736536374671329,0,0,0.0175900962933632,0,8,0.90825366307615,0.001,0.5,0.5,0,-7343.91504268558,-5931.46546738963,-1412.44957529594
12001,2.89345463354146,2.44609827542462,0,0.177999456979915,0,0.521313199417248,0,0.0670844134999833,0.000328725437008565,0,12,1.16634054963918,0.001,0,0,1.81388458307413,0,0.807773506069863,0,0.000633524372544379,0,0,0.00504676769892573,0,8,0.907058220722956,0.001,0.5,0.5,0,-7294.55242028435,-5916.22486211334,-1378.32755817101
13001,2.94390827078516,2.37465009258827,0,0.230632049214996,0,0.473047910786885,0,0.0699660876981866,0.000879940206561218,0,12,1.13664708635405,0.001,0,0,1.993120452867,0,0.771830977414052,0,0.00387152819068355,0,0,0.0262434020896825,0,8,0.916208516213404,0.001,0.5,0.5,0,-7340.54890640773,-5902.17410854645,-1438.37479786128
14001,2.83734375076632,2.95169187323833,0,0.236844335007415,0,0.49266303141927,0,0.0697942607486498,0.000609079791642515,0,12,1.15146856047052,0.001,0,0,1.96355487812533,0,0.779063653643392,0,0.00512724376875052,0,0,0.0207932601863132,0,8,0.868535187809173,0.001,0.5,0.5,0,-7294.18245030976,-5893.41389151859,-1400.76855879117
15001,2.90299275861317,2.7847541021365,0,0.23331927413341,0,0.508172451177653,0,0.0689519474657347,0.000188943454444125,0,12,1.06504525830964,0.001,0,0,1.99925743591652,0,0.819116619745803,0,0.00331910302866248,0,0,0.0273923066892701,0,8,0.89415527741476,0.001,0.5,0.5,0,-7289.7435705343,-5868.56520205813,-1421.17836847617
16001,2.88945695299534,2.65598500329496,0,0.239813948413381,0,0.504735766443726,0,0.0717022543725051,0.00308853026750342,0,12,1.13442574124867,0.001,0,0,1.88541815668164,0,0.731774263375837,0,0.00117329476310397,0,0,0.0287905604681197,0,8,0.903899120498007,0.001,0.5,0.5,0,-7327.73928004732,-5890.17686825141,-1437.56241179591
17001,2.80756150664731,3.06509220166329,0,0.249295532608181,0,0.52044455932318,0,0.0801942421309079,6.95103680920112e-05,0,12,1.12506669363213,0.001,0,0,1.8964046615323,0,0.743498163530978,0,0.00353115143254988,0,0,0.0132382956330413,0,8,0.895983346691393,0.001,0.5,0.5,0,-7337.43543528133,-5874.25327363126,-1463.18216165007
18001,2.83171693105039,3.24566113686203,0,0.295006499356677,0,0.510973627774356,0,0.0774687822959099,0.000697463597325635,0,12,1.09548437060008,0.001,0,0,1.92863201695081,0,0.756645611473182,0,0.00183577967765797,0,0,0.0184121285546386,0,8,0.916201323104628,0.001,0.5,0.5,0,-7293.76436684349,-5851.94840194822,-1441.81596489528
19001,2.77899944633345,3.21732596590572,0,0.306052611301254,0,0.509071913333225,0,0.0708248639335842,0.00336788104966739,0,12,1.14544250806136,0.001,0,0,1.9304906740171,0,0.749476466269388,0,0.000666102351676365,0,0,0.0255771452074455,0,8,0.904761431893546,0.001,0.5,0.5,0,-7370.07682431116,-5913.23423264367,-1456.84259166749
20001,2.70096191831461,3.3311715237537,0,0.297616710963975,0,0.489112097231167,0,0.0775406066503525,0.003134241458549,0,12,1.12534763120867,0.001,0,0,1.94099861168294,0,0.750678877844664,0,0.00214955353791338,0,0,0.0210091173317405,0,8,0.880515394377399,0.001,0.5,0.5,0,-7281.71762936181,-5860.43272063211,-1421.28490872971
21001,2.68601853919629,3.17309950986392,0,0.272756422580878,0,0.546300474103719,0,0.0692558903504106,0.0112243265622913,0,12,1.15333184742657,0.001,0,0,1.94819716305331,0,0.756766022124972,0,0.00253645889654851,0,0,0.0204887747649283,0,8,0.890765110214832,0.001,0.5,0.5,0,-7315.88354257563,-5880.09069706409,-1435.79284551153
22001,2.6966114091926,3.43834919096778,0,0.314609806887603,0,0.460209662151722,0,0.0676123006973015,0.00367808104720988,0,12,1.15036977594675,0.001,0,0,1.98046787958311,0,0.790850005077627,0,0.00242049871403246,0,0,0.0257312513349507,0,8,0.902739003532042,0.001,0.5,0.5,0,-7406.89964402793,-5921.69698511121,-1485.20265891672
23001,2.65774455021591,3.2394849339464,0,0.277920006845603,0,0.492805296774084,0,0.0756676892011701,0.00175061938592219,0,12,1.12004422489924,0.001,0,0,1.96270054910738,0,0.716836723253911,0,0.00339703345592546,0,0,0.0342741333987337,0,8,0.887355913466275,0.001,0.5,0.5,0,-7333.44811279304,-5858.2302815058,-1475.21783128723
24001,2.83193491007543,2.84706957726277,0,0.250613209970196,0,0.467669367648565,0,0.0723644845913411,0.00123072123822204,0,12,1.11512071703366,0.001,0,0,1.89491919887385,0,0.723501938555345,0,0.00105833263684003,0,0,0.0215064619651999,0,8,0.889564245671666,0.001,0.5,0.5,0,-7306.19333263269,-5873.4691196261,-1432.72421300659
25001,2.72767665627449,3.12455012795664,0,0.237371928969004,0,0.467652679411169,0,0.073212979242893,0.0092032493016139,0,12,1.09843712367342,0.001,0,0,1.91762393879678,0,0.717064962817075,0,0.00601898250390561,0,0,0.0226131597442773,0,8,0.908110163641571,0.001,0.5,0.5,0,-7295.47046262425,-5890.04459599742,-1405.42586662684
26001,2.78126443280885,2.77988542786778,0,0.199374810742332,0,0.463503174895764,0,0.0785840297710135,0.00126080234519203,0,12,1.09634222811554,0.001,0,0,1.97649256620735,0,0.775704947920063,0,0.00118483458067126,0,0,0.0266915532373088,0,8,0.886563336565682,0.001,0.5,0.5,0,-7267.4057657653,-5858.81349390507,-1408.59227186023
27001,2.93428149695289,2.90183319937425,0,0.254443940343847,0,0.557683884685176,0,0.0657121198043696,0.00454592114638184,0,12,1.15602648882092,0.001,0,0,1.91562173799577,0,0.76370959416249,0,0.00356375818138204,0,0,0.0174073021900225,0,8,0.883600346622895,0.001,0.5,0.5,0,-7321.33549014732,-5905.36504147249,-1415.97044867482
