samp_no,chain_no,age,prop,N
425001,2,7,0.02040816326530612,343
425001,2,8,0,235
425001,2,9,0,141
425001,2,10,0,74
425001,2,11,0,21
425001,3,0,0.18421052631578946,114
425001,3,1,0.20388349514563106,206
425001,3,2,0.20967741935483872,310
425001,3,3,0.13970588235294118,408
425001,3,4,0.15203426124197003,467
425001,3,5,0.10042735042735043,468
425001,3,6,0.06293706293706294,429
425001,3,7,0.03498542274052478,343
425001,3,8,0,235
425001,3,9,0,141
425001,3,10,0,74
425001,3,11,0,21
425001,4,0,0.21052631578947367,114
425001,4,1,0.21844660194174756,206
425001,4,2,0.19032258064516128,310
425001,4,3,0.14950980392156862,408
425001,4,4,0.13062098501070663,467
425001,4,5,0.1047008547008547,468
425001,4,6,0.05827505827505827,429
425001,4,7,0.029154518950437316,343
425001,4,8,0,235
425001,4,9,0,141
425001,4,10,0,74
425001,4,11,0,21
425001,5,0,0.18421052631578946,114
425001,5,1,0.23786407766990292,206
425001,5,2,0.2032258064516129,310
425001,5,3,0.1568627450980392,408
425001,5,4,0.13704496788008566,467
425001,5,5,0.1047008547008547,468
425001,5,6,0.06526806526806526,429
425001,5,7,0.03498542274052478,343
425001,5,8,0,235
425001,5,9,0,141
425001,5,10,0,74
425001,5,11,0,21
430001,1,0,0.18421052631578946,114
430001,1,1,0.1941747572815534,206
430001,1,2,0.1935483870967742,310
430001,1,3,0.1642156862745098,408
430001,1,4,0.14775160599571735,467
430001,1,5,0.1047008547008547,468
430001,1,6,0.06526806526806526,429
430001,1,7,0.029154518950437316,343
430001,1,8,0,235
430001,1,9,0,141
430001,1,10,0,74
430001,1,11,0,21
430001,2,0,0.17543859649122806,114
430001,2,1,0.22815533980582525,206
430001,2,2,0.2,310
430001,2,3,0.13725490196078433,408
430001,2,4,0.1349036402569593,467
430001,2,5,0.11538461538461539,468
430001,2,6,0.06060606060606061,429
430001,2,7,0.03498542274052478,343
430001,2,8,0,235
430001,2,9,0,141
430001,2,10,0,74
430001,2,11,0,21
430001,3,0,0.21052631578947367,114
430001,3,1,0.20388349514563106,206
430001,3,2,0.2064516129032258,310
430001,3,3,0.1715686274509804,408
430001,3,4,0.14775160599571735,467
430001,3,5,0.1111111111111111,468
430001,3,6,0.06060606060606061,429
430001,3,7,0.03498542274052478,343
430001,3,8,0,235
430001,3,9,0,141
430001,3,10,0,74
430001,3,11,0,21
430001,4,0,0.24561403508771928,114
430001,4,1,0.2669902912621359,206
430001,4,2,0.1967741935483871,310
430001,4,3,0.15931372549019607,408
430001,4,4,0.13276231263383298,467
430001,4,5,0.10683760683760683,468
430001,4,6,0.07459207459207459,429
430001,4,7,0.03206997084548105,343
430001,4,8,0,235
430001,4,9,0,141
430001,4,10,0,74
430001,4,11,0,21
430001,5,0,0.19298245614035087,114
430001,5,1,0.21359223300970873,206
430001,5,2,0.21935483870967742,310
430001,5,3,0.13970588235294118,408
430001,5,4,0.15417558886509636,467
430001,5,5,0.09829059829059829,468
430001,5,6,0.06526806526806526,429
430001,5,7,0.03206997084548105,343
430001,5,8,0,235
430001,5,9,0,141
430001,5,10,0,74
430001,5,11,0,21
435001,1,0,0.19298245614035087,114
435001,1,1,0.21844660194174756,206
435001,1,2,0.1967741935483871,310
435001,1,3,0.15441176470588236,408
435001,1,4,0.1349036402569593,467
435001,1,5,0.1047008547008547,468
435001,1,6,0.07459207459207459,429
435001,1,7,0.023323615160349854,343
435001,1,8,0,235
435001,1,9,0,141
435001,1,10,0,74
435001,1,11,0,21
435001,2,0,0.24561403508771928,114
435001,2,1,0.22815533980582525,206
435001,2,2,0.2129032258064516,310
435001,2,3,0.17401960784313725,408
435001,2,4,0.14346895074946467,467
435001,2,5,0.08974358974358974,468
435001,2,6,0.05128205128205128,429
435001,2,7,0.037900874635568516,343
435001,2,8,0,235
435001,2,9,0,141
435001,2,10,0,74
435001,2,11,0,21
435001,3,0,0.18421052631578946,114
435001,3,1,0.19902912621359223,206
435001,3,2,0.2064516129032258,310
435001,3,3,0.15931372549019607,408
435001,3,4,0.139186295503212,467
435001,3,5,0.09615384615384616,468
435001,3,6,0.0675990675990676,429
435001,3,7,0.026239067055393587,343
435001,3,8,0,235
435001,3,9,0,141
435001,3,10,0,74
435001,3,11,0,21
435001,4,0,0.17543859649122806,114
435001,4,1,0.24757281553398058,206
435001,4,2,0.23870967741935484,310
435001,4,3,0.15441176470588236,408
435001,4,4,0.12633832976445397,467
435001,4,5,0.11752136752136752,468
435001,4,6,0.06293706293706294,429
435001,4,7,0.029154518950437316,343
435001,4,8,0,235
435001,4,9,0,141
435001,4,10,0,74
435001,4,11,0,21
435001,5,0,0.21052631578947367,114
435001,5,1,0.23786407766990292,206
435001,5,2,0.21935483870967742,310
435001,5,3,0.14950980392156862,408
435001,5,4,0.1284796573875803,467
435001,5,5,0.1047008547008547,468
435001,5,6,0.05827505827505827,429
435001,5,7,0.03206997084548105,343
435001,5,8,0,235
435001,5,9,0,141
435001,5,10,0,74
435001,5,11,0,21
440001,1,0,0.20175438596491227,114
440001,1,1,0.23786407766990292,206
440001,1,2,0.2032258064516129,310
440001,1,3,0.16666666666666666,408
440001,1,4,0.13704496788008566,467
440001,1,5,0.10256410256410256,468
440001,1,6,0.0675990675990676,429
440001,1,7,0.029154518950437316,343
440001,1,8,0,235
440001,1,9,0,141
440001,1,10,0,74
440001,1,11,0,21
440001,2,0,0.17543859649122806,114
440001,2,1,0.22330097087378642,206
440001,2,2,0.19032258064516128,310
440001,2,3,0.15196078431372548,408
440001,2,4,0.14989293361884368,467
440001,2,5,0.1111111111111111,468
440001,2,6,0.0675990675990676,429
440001,2,7,0.029154518950437316,343
440001,2,8,0,235
440001,2,9,0,141
440001,2,10,0,74
440001,2,11,0,21
440001,3,0,0.20175438596491227,114
440001,3,1,0.21359223300970873,206
440001,3,2,0.2064516129032258,310
440001,3,3,0.15931372549019607,408
440001,3,4,0.16059957173447537,467
440001,3,5,0.08974358974358974,468
440001,3,6,0.0675990675990676,429
440001,3,7,0.03206997084548105,343
440001,3,8,0,235
440001,3,9,0,141
440001,3,10,0,74
440001,3,11,0,21
440001,4,0,0.21052631578947367,114
440001,4,1,0.25728155339805825,206
440001,4,2,0.2129032258064516,310
